time,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other
2025-03-21 16:10:16,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:15,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:14,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:13,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:12,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:11,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:10,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:09,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:08,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:07,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:06,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:05,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:04,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:03,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:02,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:01,3,292,292,0,0,0,0,1,0
2025-03-21 16:10:00,3,292,292,0,0,0,0,1,0
2025-03-21 16:09:59,3,292,292,0,0,0,0,1,0
2025-03-21 16:09:58,3,292,292,0,0,0,0,1,0
2025-03-21 16:09:57,3,292,292,0,0,0,0,1,0
2025-03-21 16:09:56,3,4723,4723,0,0,0,0,1,0
2025-03-21 16:09:55,3,6196,6196,0,0,0,0,1,0
2025-03-21 16:09:54,3,6094,6094,0,0,0,0,1,0
2025-03-21 16:09:53,3,5996,5996,0,0,0,0,1,0
2025-03-21 16:09:52,3,5896,5896,0,0,0,0,1,0
2025-03-21 16:09:51,3,5796,5796,0,0,0,0,1,0
2025-03-21 16:09:50,3,5696,5696,0,0,0,0,1,0
2025-03-21 16:09:49,3,5596,5596,0,0,0,0,1,0
2025-03-21 16:09:48,3,5496,5496,0,0,0,0,1,0
2025-03-21 16:09:47,3,5396,5396,0,0,0,0,1,0
2025-03-21 16:09:46,3,5296,5296,0,0,0,0,1,0
2025-03-21 16:09:45,3,5196,5196,0,0,0,0,1,0
2025-03-21 16:09:44,3,5096,5096,0,0,0,0,1,0
2025-03-21 16:09:43,3,4996,4996,0,0,0,0,1,0
2025-03-21 16:09:42,3,4896,4896,0,0,0,0,1,0
2025-03-21 16:09:41,3,4796,4796,0,0,0,0,1,0
2025-03-21 16:09:40,3,4696,4696,0,0,0,0,1,0
2025-03-21 16:09:39,3,4596,4596,0,0,0,0,1,0
2025-03-21 16:09:38,3,4495,4495,0,0,0,0,1,0
2025-03-21 16:09:37,3,4396,4396,0,0,0,0,1,0
2025-03-21 16:09:36,3,4296,4296,0,0,0,0,1,0
2025-03-21 16:09:35,3,4196,4196,0,0,0,0,1,0
2025-03-21 16:09:34,3,4096,4096,0,0,0,0,1,0
2025-03-21 16:09:33,3,3995,3995,0,0,0,0,1,0
2025-03-21 16:09:32,3,3896,3896,0,0,0,0,1,0
2025-03-21 16:09:31,3,3796,3796,0,0,0,0,1,0
2025-03-21 16:09:30,3,3696,3696,0,0,0,0,1,0
2025-03-21 16:09:29,3,3596,3596,0,0,0,0,1,0
2025-03-21 16:09:28,3,3496,3496,0,0,0,0,1,0
2025-03-21 16:09:27,3,3396,3396,0,0,0,0,1,0
2025-03-21 16:09:26,3,3295,3295,0,0,0,0,1,0
2025-03-21 16:09:25,3,3195,3195,0,0,0,0,1,0
2025-03-21 16:09:24,3,3094,3094,0,0,0,0,1,0
2025-03-21 16:09:23,3,2996,2996,0,0,0,0,1,0
2025-03-21 16:09:22,3,2896,2896,0,0,0,0,1,0
2025-03-21 16:09:21,3,2796,2796,0,0,0,0,1,0
2025-03-21 16:09:20,3,2696,2696,0,0,0,0,1,0
2025-03-21 16:09:19,3,2596,2596,0,0,0,0,1,0
2025-03-21 16:09:18,3,2496,2496,0,0,0,0,1,0
2025-03-21 16:09:17,3,2396,2396,0,0,0,0,1,0
2025-03-21 16:09:16,3,2296,2296,0,0,0,0,1,0
