time,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other
2025-03-21 16:24:12,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:11,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:10,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:09,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:08,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:07,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:06,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:05,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:04,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:03,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:02,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:01,3,340,340,0,0,0,0,1,0
2025-03-21 16:24:00,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:59,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:58,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:57,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:56,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:55,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:54,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:53,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:52,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:51,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:50,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:49,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:48,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:47,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:46,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:45,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:44,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:43,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:42,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:41,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:40,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:39,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:38,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:37,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:36,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:35,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:34,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:33,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:32,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:31,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:30,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:29,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:28,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:27,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:26,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:25,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:24,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:23,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:22,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:21,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:20,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:19,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:18,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:17,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:16,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:15,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:14,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:13,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:12,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:11,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:10,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:09,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:08,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:07,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:06,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:05,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:04,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:03,3,340,340,0,0,0,0,1,0
2025-03-21 16:23:02,3,340,340,0,0,0,0,1,0
