time,uptime
2025-03-21 16:24:12,1269219
2025-03-21 16:24:11,1269218
2025-03-21 16:24:10,1269217
2025-03-21 16:24:09,1269216
2025-03-21 16:24:08,1269215
2025-03-21 16:24:07,1269214
2025-03-21 16:24:06,1269213
2025-03-21 16:24:05,1269212
2025-03-21 16:24:04,1269211
2025-03-21 16:24:03,1269210
2025-03-21 16:24:02,1269209
2025-03-21 16:24:01,1269208
2025-03-21 16:24:00,1269207
2025-03-21 16:23:59,1269206
2025-03-21 16:23:58,1269205
2025-03-21 16:23:57,1269204
2025-03-21 16:23:56,1269203
2025-03-21 16:23:55,1269202
2025-03-21 16:23:54,1269201
2025-03-21 16:23:53,1269200
2025-03-21 16:23:52,1269199
2025-03-21 16:23:51,1269198
2025-03-21 16:23:50,1269197
2025-03-21 16:23:49,1269196
2025-03-21 16:23:48,1269195
2025-03-21 16:23:47,1269194
2025-03-21 16:23:46,1269193
2025-03-21 16:23:45,1269192
2025-03-21 16:23:44,1269191
2025-03-21 16:23:43,1269190
2025-03-21 16:23:42,1269189
2025-03-21 16:23:41,1269188
2025-03-21 16:23:40,1269187
2025-03-21 16:23:39,1269186
2025-03-21 16:23:38,1269185
2025-03-21 16:23:37,1269184
2025-03-21 16:23:36,1269183
2025-03-21 16:23:35,1269182
2025-03-21 16:23:34,1269181
2025-03-21 16:23:33,1269180
2025-03-21 16:23:32,1269179
2025-03-21 16:23:31,1269178
2025-03-21 16:23:30,1269177
2025-03-21 16:23:29,1269176
2025-03-21 16:23:28,1269175
2025-03-21 16:23:27,1269174
2025-03-21 16:23:26,1269173
2025-03-21 16:23:25,1269172
2025-03-21 16:23:24,1269171
2025-03-21 16:23:23,1269170
2025-03-21 16:23:22,1269169
2025-03-21 16:23:21,1269168
2025-03-21 16:23:20,1269167
2025-03-21 16:23:19,1269166
2025-03-21 16:23:18,1269165
2025-03-21 16:23:17,1269164
2025-03-21 16:23:16,1269163
2025-03-21 16:23:15,1269162
2025-03-21 16:23:14,1269161
2025-03-21 16:23:13,1269160
2025-03-21 16:23:12,1269159
2025-03-21 16:23:11,1269158
2025-03-21 16:23:10,1269157
2025-03-21 16:23:09,1269156
2025-03-21 16:23:08,1269155
2025-03-21 16:23:07,1269154
2025-03-21 16:23:06,1269153
2025-03-21 16:23:05,1269152
2025-03-21 16:23:04,1269151
2025-03-21 16:23:03,1269150
2025-03-21 16:23:02,1269149
