time,limit
2025-03-20 20:57:06,0.02
2025-03-20 20:57:05,0.02
2025-03-20 20:57:04,0.02
2025-03-20 20:57:03,0.02
2025-03-20 20:57:02,0.02
2025-03-20 20:57:01,0.02
2025-03-20 20:57:00,0.02
2025-03-20 20:56:59,0.02
2025-03-20 20:56:58,0.02
2025-03-20 20:56:57,0.02
2025-03-20 20:56:56,0.02
2025-03-20 20:56:55,0.02
2025-03-20 20:56:54,0.02
2025-03-20 20:56:53,0.02
2025-03-20 20:56:52,0.02
2025-03-20 20:56:51,0.02
2025-03-20 20:56:50,0.02
2025-03-20 20:56:49,0.02
2025-03-20 20:56:48,0.02
2025-03-20 20:56:47,0.02
2025-03-20 20:56:46,0.02
2025-03-20 20:56:45,0.02
2025-03-20 20:56:44,0.02
2025-03-20 20:56:43,0.02
2025-03-20 20:56:42,0.02
2025-03-20 20:56:41,0.02
2025-03-20 20:56:40,0.02
2025-03-20 20:56:39,0.02
2025-03-20 20:56:38,0.02
2025-03-20 20:56:37,0.02
2025-03-20 20:56:36,0.02
2025-03-20 20:56:35,0.02
2025-03-20 20:56:34,0.02
2025-03-20 20:56:33,0.02
2025-03-20 20:56:32,0.02
2025-03-20 20:56:31,0.02
2025-03-20 20:56:30,0.02
2025-03-20 20:56:29,0.02
2025-03-20 20:56:28,0.02
2025-03-20 20:56:27,0.02
2025-03-20 20:56:26,0.02
2025-03-20 20:56:25,0.02
2025-03-20 20:56:24,0.02
2025-03-20 20:56:23,0.02
2025-03-20 20:56:22,0.02
2025-03-20 20:56:21,0.02
2025-03-20 20:56:20,0.02
2025-03-20 20:56:19,0.02
2025-03-20 20:56:18,0.02
2025-03-20 20:56:17,0.02
2025-03-20 20:56:16,0.02
2025-03-20 20:56:15,0.02
2025-03-20 20:56:14,0.02
2025-03-20 20:56:13,0.02
2025-03-20 20:56:12,0.02
2025-03-20 20:56:11,0.02
2025-03-20 20:56:10,0.02
2025-03-20 20:56:09,0.02
2025-03-20 20:56:08,0.02
2025-03-20 20:56:07,0.02
2025-03-20 20:56:06,0.02
