time,uptime
2025-03-20 20:57:07,1199194
2025-03-20 20:57:06,1199193
2025-03-20 20:57:05,1199192
2025-03-20 20:57:04,1199190
2025-03-20 20:57:03,1199190
2025-03-20 20:57:02,1199189
2025-03-20 20:57:01,1199188
2025-03-20 20:57:00,1199187
2025-03-20 20:56:59,1199186
2025-03-20 20:56:58,1199185
2025-03-20 20:56:57,1199183
2025-03-20 20:56:56,1199183
2025-03-20 20:56:55,1199182
2025-03-20 20:56:54,1199181
2025-03-20 20:56:53,1199180
2025-03-20 20:56:52,1199179
2025-03-20 20:56:51,1199178
2025-03-20 20:56:50,1199177
2025-03-20 20:56:49,1199176
2025-03-20 20:56:48,1199175
2025-03-20 20:56:47,1199174
2025-03-20 20:56:46,1199172
2025-03-20 20:56:45,1199171
2025-03-20 20:56:44,1199170
2025-03-20 20:56:43,1199169
2025-03-20 20:56:42,1199168
2025-03-20 20:56:41,1199167
2025-03-20 20:56:40,1199166
2025-03-20 20:56:39,1199166
2025-03-20 20:56:38,1199165
2025-03-20 20:56:37,1199164
2025-03-20 20:56:36,1199162
2025-03-20 20:56:35,1199161
2025-03-20 20:56:34,1199160
2025-03-20 20:56:33,1199159
2025-03-20 20:56:32,1199158
2025-03-20 20:56:31,1199157
2025-03-20 20:56:30,1199156
2025-03-20 20:56:29,1199155
2025-03-20 20:56:28,1199154
2025-03-20 20:56:27,1199154
2025-03-20 20:56:26,1199153
2025-03-20 20:56:25,1199152
2025-03-20 20:56:24,1199151
2025-03-20 20:56:23,1199150
2025-03-20 20:56:22,1199149
2025-03-20 20:56:21,1199148
2025-03-20 20:56:20,1199147
2025-03-20 20:56:19,1199146
2025-03-20 20:56:18,1199145
2025-03-20 20:56:17,1199144
2025-03-20 20:56:16,1199143
2025-03-20 20:56:15,1199142
2025-03-20 20:56:14,1199141
2025-03-20 20:56:13,1199140
2025-03-20 20:56:12,1199139
2025-03-20 20:56:11,1199138
2025-03-20 20:56:10,1199137
2025-03-20 20:56:09,1199136
2025-03-20 20:56:08,1199135
2025-03-20 20:56:07,1199134
