time,Committed_AS
2025-03-20 20:57:01,9342.504
2025-03-20 20:57:00,9342.504
2025-03-20 20:56:59,9342.504
2025-03-20 20:56:58,9342.25
2025-03-20 20:56:57,9336.715
2025-03-20 20:56:56,9336.965
2025-03-20 20:56:55,9336.965
2025-03-20 20:56:54,9336.965
2025-03-20 20:56:53,9328.086
2025-03-20 20:56:52,9335.594
2025-03-20 20:56:51,9339.109
2025-03-20 20:56:50,9347.359
2025-03-20 20:56:49,9356.312
2025-03-20 20:56:48,9324.539
2025-03-20 20:56:47,9317.906
2025-03-20 20:56:46,9326.156
2025-03-20 20:56:45,9326.156
2025-03-20 20:56:44,9334.406
2025-03-20 20:56:43,9334.406
2025-03-20 20:56:42,9327.609
2025-03-20 20:56:41,9327.066
2025-03-20 20:56:40,9327.066
2025-03-20 20:56:39,9337.094
2025-03-20 20:56:38,9337.094
2025-03-20 20:56:37,9337.094
2025-03-20 20:56:36,9337.094
2025-03-20 20:56:35,9337.094
2025-03-20 20:56:34,9339.875
2025-03-20 20:56:33,9334.367
2025-03-20 20:56:32,9329.281
2025-03-20 20:56:31,9320.477
2025-03-20 20:56:30,9321.105
2025-03-20 20:56:29,9329.355
2025-03-20 20:56:28,9329.391
2025-03-20 20:56:27,9328.891
2025-03-20 20:56:26,9321.527
2025-03-20 20:56:25,9329.777
2025-03-20 20:56:24,9338.027
2025-03-20 20:56:23,9336.094
2025-03-20 20:56:22,9348.336
2025-03-20 20:56:21,9361.562
2025-03-20 20:56:20,9372.629
2025-03-20 20:56:19,9372.629
2025-03-20 20:56:18,9366.055
2025-03-20 20:56:17,9374.305
2025-03-20 20:56:16,9373.805
2025-03-20 20:56:15,9728.773
2025-03-20 20:56:14,9731.805
2025-03-20 20:56:13,9731.805
2025-03-20 20:56:12,9731.555
2025-03-20 20:56:11,9722.965
2025-03-20 20:56:10,9722.965
2025-03-20 20:56:09,9722.965
2025-03-20 20:56:08,9722.965
2025-03-20 20:56:07,9722.965
2025-03-20 20:56:06,9722.965
2025-03-20 20:56:05,9722.965
2025-03-20 20:56:04,9722.969
2025-03-20 20:56:03,9731.219
2025-03-20 20:56:02,9728.148
2025-03-20 20:56:01,9720.141
