time,up,down
2025-03-20 20:56:54,1,0
2025-03-20 20:56:53,1,0
2025-03-20 20:56:52,1,0
2025-03-20 20:56:51,1,0
2025-03-20 20:56:50,1,0
2025-03-20 20:56:49,1,0
2025-03-20 20:56:48,1,0
2025-03-20 20:56:47,1,0
2025-03-20 20:56:46,1,0
2025-03-20 20:56:45,1,0
2025-03-20 20:56:44,1,0
2025-03-20 20:56:43,1,0
2025-03-20 20:56:42,1,0
2025-03-20 20:56:41,1,0
2025-03-20 20:56:40,1,0
2025-03-20 20:56:39,1,0
2025-03-20 20:56:38,1,0
2025-03-20 20:56:37,1,0
2025-03-20 20:56:36,1,0
2025-03-20 20:56:35,1,0
2025-03-20 20:56:34,1,0
2025-03-20 20:56:33,1,0
2025-03-20 20:56:32,1,0
2025-03-20 20:56:31,1,0
2025-03-20 20:56:30,1,0
2025-03-20 20:56:29,1,0
2025-03-20 20:56:28,1,0
2025-03-20 20:56:27,1,0
2025-03-20 20:56:26,1,0
2025-03-20 20:56:25,1,0
2025-03-20 20:56:24,1,0
2025-03-20 20:56:23,1,0
2025-03-20 20:56:22,1,0
2025-03-20 20:56:21,1,0
2025-03-20 20:56:20,1,0
2025-03-20 20:56:19,1,0
2025-03-20 20:56:18,1,0
2025-03-20 20:56:17,1,0
2025-03-20 20:56:16,1,0
2025-03-20 20:56:15,1,0
2025-03-20 20:56:14,1,0
2025-03-20 20:56:13,1,0
2025-03-20 20:56:12,1,0
2025-03-20 20:56:11,1,0
2025-03-20 20:56:10,1,0
2025-03-20 20:56:09,1,0
2025-03-20 20:56:08,1,0
2025-03-20 20:56:07,1,0
2025-03-20 20:56:06,1,0
2025-03-20 20:56:05,1,0
2025-03-20 20:56:04,1,0
2025-03-20 20:56:03,1,0
2025-03-20 20:56:02,1,0
2025-03-20 20:56:01,1,0
2025-03-20 20:56:00,1,0
2025-03-20 20:55:59,1,0
2025-03-20 20:55:58,1,0
2025-03-20 20:55:57,1,0
2025-03-20 20:55:56,1,0
2025-03-20 20:55:55,1,0
2025-03-20 20:55:54,1,0
