time,free,used,cached,buffers
2025-03-20 20:57:01,8771.625,2901.414,20176.05,249.3945
2025-03-20 20:57:00,8771.402,2901.645,20176.04,249.3945
2025-03-20 20:56:59,8772.164,2900.934,20175.99,249.3945
2025-03-20 20:56:58,8772.371,2900.727,20175.99,249.3945
2025-03-20 20:56:57,8773.387,2899.719,20175.98,249.3945
2025-03-20 20:56:56,8774.141,2898.969,20175.98,249.3945
2025-03-20 20:56:55,8774.25,2898.863,20175.97,249.3945
2025-03-20 20:56:54,8774.602,2898.512,20175.97,249.3945
2025-03-20 20:56:53,8774.57,2898.551,20175.96,249.3945
2025-03-20 20:56:52,8773.941,2899.188,20175.96,249.3945
2025-03-20 20:56:51,8773.883,2899.25,20175.95,249.3945
2025-03-20 20:56:50,8774.07,2899.062,20175.95,249.3945
2025-03-20 20:56:49,8774.188,2898.945,20175.95,249.3945
2025-03-20 20:56:48,8775.578,2897.559,20175.95,249.3945
2025-03-20 20:56:47,8775.07,2898.066,20175.95,249.3945
2025-03-20 20:56:46,8776.562,2896.578,20175.95,249.3945
2025-03-20 20:56:45,8776.277,2896.863,20175.95,249.3945
2025-03-20 20:56:44,8777.031,2896.113,20175.94,249.3945
2025-03-20 20:56:43,8775.66,2897.496,20175.93,249.3945
2025-03-20 20:56:42,8777.27,2895.883,20175.93,249.3945
2025-03-20 20:56:41,8776.816,2896.34,20175.93,249.3945
2025-03-20 20:56:40,8776.777,2896.383,20175.93,249.3945
2025-03-20 20:56:39,8775.578,2897.582,20175.93,249.3945
2025-03-20 20:56:38,8775.785,2897.379,20175.92,249.3945
2025-03-20 20:56:37,8775.93,2897.238,20175.92,249.3945
2025-03-20 20:56:36,8776.191,2896.98,20175.91,249.3945
2025-03-20 20:56:35,8776.438,2896.734,20175.91,249.3945
2025-03-20 20:56:34,8776.5,2896.672,20175.91,249.3945
2025-03-20 20:56:33,8774.684,2898.5,20175.91,249.3867
2025-03-20 20:56:32,8773.906,2899.27,20175.92,249.3867
2025-03-20 20:56:31,8773.332,2899.848,20175.91,249.3867
2025-03-20 20:56:30,8773.57,2899.613,20175.91,249.3867
2025-03-20 20:56:29,8772.992,2900.199,20175.9,249.3867
2025-03-20 20:56:28,8773.254,2899.938,20175.9,249.3867
2025-03-20 20:56:27,8773.809,2899.391,20175.89,249.3867
2025-03-20 20:56:26,8774.039,2899.098,20175.96,249.3867
2025-03-20 20:56:25,8773.801,2899.34,20175.95,249.3867
2025-03-20 20:56:24,8771.863,2901.277,20175.95,249.3867
2025-03-20 20:56:23,8772.508,2900.539,20176.05,249.3867
2025-03-20 20:56:22,8768.141,2904.914,20176.04,249.3867
2025-03-20 20:56:21,8768.012,2905.047,20176.04,249.3867
2025-03-20 20:56:20,8768.348,2904.711,20176.04,249.3867
2025-03-20 20:56:19,8759.879,2913.145,20176.07,249.3867
2025-03-20 20:56:18,8759.848,2913.176,20176.07,249.3867
2025-03-20 20:56:17,8759.816,2913.211,20176.07,249.3867
2025-03-20 20:56:16,8762.184,2910.836,20176.07,249.3867
2025-03-20 20:56:15,8739.328,2933.125,20176.64,249.3867
2025-03-20 20:56:14,8739.656,2932.797,20176.64,249.3867
2025-03-20 20:56:13,8739.996,2932.461,20176.64,249.3867
2025-03-20 20:56:12,8739.996,2932.461,20176.64,249.3867
2025-03-20 20:56:11,8741.473,2930.988,20176.63,249.3867
2025-03-20 20:56:10,8741.258,2931.203,20176.63,249.3867
2025-03-20 20:56:09,8740.965,2931.5,20176.63,249.3867
2025-03-20 20:56:08,8740.996,2931.469,20176.63,249.3867
2025-03-20 20:56:07,8741.242,2931.227,20176.62,249.3867
2025-03-20 20:56:06,8741.488,2930.984,20176.62,249.3867
2025-03-20 20:56:05,8742.441,2930.035,20176.62,249.3867
2025-03-20 20:56:04,8743.633,2928.844,20176.62,249.3867
2025-03-20 20:56:03,8743.156,2929.324,20176.61,249.3867
2025-03-20 20:56:02,8741.766,2930.719,20176.61,249.3867
2025-03-20 20:56:01,8739.473,2933.027,20176.59,249.3867
