time,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other
2025-03-20 20:50:51,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:50,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:49,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:48,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:47,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:46,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:45,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:44,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:43,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:42,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:41,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:40,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:39,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:38,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:37,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:36,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:35,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:34,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:33,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:32,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:31,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:30,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:29,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:28,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:27,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:26,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:25,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:24,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:23,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:22,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:21,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:20,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:19,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:18,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:17,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:16,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:15,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:14,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:13,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:12,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:11,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:10,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:09,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:08,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:07,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:06,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:05,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:04,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:03,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:02,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:01,3,292,292,0,0,0,0,1,0
2025-03-20 20:50:00,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:59,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:58,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:57,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:56,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:55,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:54,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:53,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:52,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:51,3,292,292,0,0,0,0,1,0
2025-03-20 20:49:50,3,292,292,0,0,0,0,1,0
