time,free,used,cached,buffers
2025-03-20 20:50:45,8812.293,2884.34,20152.71,249.1406
2025-03-20 20:50:44,8813.891,2882.746,20152.7,249.1406
2025-03-20 20:50:43,8813.652,2882.988,20152.7,249.1406
2025-03-20 20:50:42,8813.516,2883.137,20152.69,249.1406
2025-03-20 20:50:41,8811.609,2885.043,20152.69,249.1406
2025-03-20 20:50:40,8812.125,2884.531,20152.68,249.1406
2025-03-20 20:50:39,8811.625,2885.059,20152.66,249.1406
2025-03-20 20:50:38,8812.281,2884.406,20152.65,249.1406
2025-03-20 20:50:37,8812.082,2884.605,20152.65,249.1406
2025-03-20 20:50:36,8813.242,2883.449,20152.65,249.1406
2025-03-20 20:50:35,8812.559,2884.133,20152.65,249.1406
2025-03-20 20:50:34,8812.359,2884.336,20152.64,249.1406
2025-03-20 20:50:33,8813.035,2883.66,20152.64,249.1406
2025-03-20 20:50:32,8814.559,2882.145,20152.64,249.1406
2025-03-20 20:50:31,8812.344,2884.359,20152.64,249.1406
2025-03-20 20:50:30,8812.883,2883.828,20152.63,249.1406
2025-03-20 20:50:29,8812.605,2884.105,20152.63,249.1406
2025-03-20 20:50:28,8812.852,2883.863,20152.62,249.1406
2025-03-20 20:50:27,8811.559,2885.156,20152.62,249.1406
2025-03-20 20:50:26,8770.395,2926.344,20152.6,249.1406
2025-03-20 20:50:25,8663.309,3033.434,20152.6,249.1406
2025-03-20 20:50:24,8664.348,3032.398,20152.59,249.1406
2025-03-20 20:50:23,8664.262,3032.488,20152.59,249.1406
2025-03-20 20:50:22,8666.023,3030.766,20152.55,249.1406
2025-03-20 20:50:21,8666.984,3029.809,20152.55,249.1406
2025-03-20 20:50:20,8666.516,3030.277,20152.55,249.1406
2025-03-20 20:50:19,8668.227,3028.707,20152.41,249.1406
2025-03-20 20:50:18,8667.457,3029.48,20152.4,249.1406
2025-03-20 20:50:17,8668.48,3028.469,20152.39,249.1406
2025-03-20 20:50:16,8668.457,3028.492,20152.39,249.1406
2025-03-20 20:50:15,8667.258,3029.691,20152.39,249.1406
2025-03-20 20:50:14,8668.418,3028.535,20152.39,249.1406
2025-03-20 20:50:13,8668.633,3028.34,20152.37,249.1406
2025-03-20 20:50:12,8669.117,3027.863,20152.36,249.1406
2025-03-20 20:50:11,8669.387,3027.594,20152.36,249.1406
2025-03-20 20:50:10,8668.156,3028.828,20152.36,249.1406
2025-03-20 20:50:09,8667.41,3029.574,20152.36,249.1406
2025-03-20 20:50:08,8667.609,3029.379,20152.35,249.1406
2025-03-20 20:50:07,8667.742,3029.246,20152.35,249.1406
2025-03-20 20:50:06,8666.742,3030.25,20152.35,249.1406
2025-03-20 20:50:05,8666.68,3030.312,20152.35,249.1406
2025-03-20 20:50:04,8666.188,3030.809,20152.34,249.1406
2025-03-20 20:50:03,8666.172,3030.828,20152.34,249.1406
2025-03-20 20:50:02,8669.07,3027.945,20152.32,249.1406
2025-03-20 20:50:01,8666.633,3030.387,20152.32,249.1406
2025-03-20 20:50:00,8666.125,3030.898,20152.32,249.1406
2025-03-20 20:49:59,8665.402,3031.621,20152.32,249.1406
2025-03-20 20:49:58,8665.848,3031.191,20152.3,249.1406
2025-03-20 20:49:57,8665.125,3031.918,20152.3,249.1406
2025-03-20 20:49:56,8666.363,3030.68,20152.3,249.1406
2025-03-20 20:49:55,8666.102,3030.941,20152.3,249.1406
2025-03-20 20:49:54,8666.562,3030.484,20152.29,249.1406
2025-03-20 20:49:53,8667.578,3029.469,20152.29,249.1406
2025-03-20 20:49:52,8667.133,3029.926,20152.28,249.1406
2025-03-20 20:49:51,8667.125,3029.934,20152.28,249.1406
2025-03-20 20:49:50,8667.363,3029.699,20152.28,249.1406
2025-03-20 20:49:49,8666.852,3030.215,20152.27,249.1406
2025-03-20 20:49:48,8667.125,3029.957,20152.26,249.1406
2025-03-20 20:49:47,8667.609,3029.473,20152.26,249.1406
2025-03-20 20:49:46,8667.25,3029.832,20152.26,249.1406
2025-03-20 20:49:45,8666.949,3030.133,20152.26,249.1406
2025-03-20 20:49:44,8646.039,3051.051,20152.25,249.1406
