Timestamp,Tempo gasto (ms)
2025-03-06 23:59:27,476
2025-03-06 23:59:29,509
2025-03-06 23:59:30,460
2025-03-06 23:59:31,457
2025-03-06 23:59:33,455
2025-03-06 23:59:34,459
2025-03-06 23:59:36,459
2025-03-06 23:59:37,456
2025-03-06 23:59:39,488
2025-03-06 23:59:40,461
2025-03-06 23:59:42,453
2025-03-06 23:59:43,480
2025-03-06 23:59:46,1586
2025-03-06 23:59:49,1896
2025-03-06 23:59:51,1587
2025-03-06 23:59:54,1695
2025-03-06 23:59:57,1598
2025-03-06 23:59:59,1590
2025-03-07 00:00:02,1695
2025-03-07 00:00:04,822
2025-03-07 00:00:05,454
2025-03-07 00:00:07,458
2025-03-07 00:00:08,455
2025-03-07 00:00:10,677
2025-03-07 00:00:11,460
2025-03-07 00:00:13,539
2025-03-07 00:00:14,481
2025-03-07 00:00:16,519
2025-03-07 00:00:17,457
2025-03-07 00:00:19,507
2025-03-07 00:00:20,455
2025-03-07 00:00:22,527
2025-03-07 00:00:23,504
2025-03-07 00:00:25,460
2025-03-07 00:00:28,2124
2025-03-07 00:00:31,1787
2025-03-07 00:00:33,1796
2025-03-07 00:00:38,3202
2025-03-07 00:00:40,1289
2025-03-07 00:00:44,2689
2025-03-07 00:00:45,459
2025-03-07 00:00:47,526
2025-03-07 00:00:48,458
2025-03-07 00:00:50,455
2025-03-07 00:00:51,484
2025-03-07 00:00:53,479
2025-03-07 00:00:54,461
2025-03-07 00:00:56,857
2025-03-07 00:00:58,697
2025-03-07 00:00:59,790
2025-03-07 00:01:02,1092
2025-03-07 00:01:04,995
2025-03-07 00:01:05,800
2025-03-07 00:01:07,896
2025-03-07 00:01:09,785
2025-03-07 00:01:11,802
2025-03-07 00:01:13,1088
2025-03-07 00:01:15,711
2025-03-07 00:01:16,484
2025-03-07 00:01:18,457
2025-03-07 00:01:19,597
2025-03-07 00:01:21,457
2025-03-07 00:01:22,474
2025-03-07 00:01:24,458
2025-03-07 00:01:25,525
2025-03-07 00:01:27,462
2025-03-07 00:01:28,529
2025-03-07 00:01:30,457
2025-03-07 00:01:31,524
2025-03-07 00:01:33,467
2025-03-07 00:01:34,679
2025-03-07 00:01:36,496
2025-03-07 00:01:38,719
2025-03-07 00:01:40,1197
2025-03-07 00:01:41,692
2025-03-07 00:01:44,1296
2025-03-07 00:01:47,1800
2025-03-07 00:01:48,680
2025-03-07 00:01:50,1099
2025-03-07 00:01:52,1090
2025-03-07 00:01:55,1099
2025-03-07 00:01:56,471
2025-03-07 00:01:57,483
2025-03-07 00:01:59,462
2025-03-07 00:02:00,460
2025-03-07 00:02:02,478
2025-03-07 00:02:04,1098
2025-03-07 00:02:06,777
2025-03-07 00:02:08,810
2025-03-07 00:02:09,775
2025-03-07 00:02:11,1096
2025-03-07 00:02:14,1095
2025-03-07 00:02:16,1291
2025-03-07 00:02:18,1096
2025-03-07 00:02:20,1196
2025-03-07 00:02:23,1392
2025-03-07 00:02:24,492
2025-03-07 00:02:26,493
2025-03-07 00:02:27,455
2025-03-07 00:02:29,635
2025-03-07 00:02:30,491
