Timestamp,Tempo gasto (ms),nf,stress_test
06/03/2025 23:59,455,all,none
06/03/2025 23:59,454,all,none
06/03/2025 23:59,444,all,none
06/03/2025 23:59,452,all,none
06/03/2025 23:59,452,all,none
06/03/2025 23:59,459,all,none
06/03/2025 23:59,448,all,none
06/03/2025 23:59,445,all,none
06/03/2025 23:59,453,all,none
06/03/2025 23:59,446,all,none
06/03/2025 23:59,443,all,none
06/03/2025 23:59,447,all,none
06/03/2025 23:59,446,all,none
06/03/2025 23:59,454,all,none
06/03/2025 23:59,474,all,none
06/03/2025 23:59,1586,AMF,CPU
06/03/2025 23:59,1896,AMF,CPU
06/03/2025 23:59,1587,AMF,CPU
06/03/2025 23:59,1695,AMF,CPU
06/03/2025 23:59,1598,AMF,CPU
06/03/2025 23:59,1590,AMF,CPU
07/03/2025 00:00,1695,AMF,CPU
07/03/2025 00:00,822,AMF,CPU
07/03/2025 00:00,822,AMF,Memory
07/03/2025 00:00,454,AMF,Memory
07/03/2025 00:00,458,AMF,Memory
07/03/2025 00:00,455,AMF,Memory
07/03/2025 00:00,677,AMF,Memory
07/03/2025 00:00,460,AMF,Memory
07/03/2025 00:00,539,AMF,Memory
07/03/2025 00:00,481,AMF,Memory
07/03/2025 00:00,519,AMF,Memory
07/03/2025 00:00,457,AMF,Memory
07/03/2025 00:00,507,AMF,Memory
07/03/2025 00:00,455,AMF,Memory
07/03/2025 00:00,527,AMF,Memory
07/03/2025 00:00,504,AMF,Memory
07/03/2025 00:00,460,AMF,CPU + Memory
07/03/2025 00:00,2124,AMF,CPU + Memory
07/03/2025 00:00,1787,AMF,CPU + Memory
07/03/2025 00:00,1796,AMF,CPU + Memory
07/03/2025 00:00,3202,AMF,CPU + Memory
07/03/2025 00:00,1289,AMF,CPU + Memory
07/03/2025 00:00,2689,AMF,CPU + Memory
07/03/2025 00:00,459,AMF,CPU + Memory
07/03/2025 00:00,857,AUSF,CPU
07/03/2025 00:00,697,AUSF,CPU
07/03/2025 00:00,790,AUSF,CPU
07/03/2025 00:01,1092,AUSF,CPU
07/03/2025 00:01,995,AUSF,CPU
07/03/2025 00:01,800,AUSF,CPU
07/03/2025 00:01,896,AUSF,CPU
07/03/2025 00:01,785,AUSF,CPU
07/03/2025 00:01,802,AUSF,CPU
07/03/2025 00:01,1088,AUSF,CPU
07/03/2025 00:01,711,AUSF,CPU
07/03/2025 00:01,484,AUSF,Memory
07/03/2025 00:01,457,AUSF,Memory
07/03/2025 00:01,597,AUSF,Memory
07/03/2025 00:01,457,AUSF,Memory
07/03/2025 00:01,474,AUSF,Memory
07/03/2025 00:01,458,AUSF,Memory
07/03/2025 00:01,525,AUSF,Memory
07/03/2025 00:01,462,AUSF,Memory
07/03/2025 00:01,529,AUSF,Memory
07/03/2025 00:01,457,AUSF,Memory
07/03/2025 00:01,524,AUSF,Memory
07/03/2025 00:01,467,AUSF,Memory
07/03/2025 00:01,679,AUSF,Memory
07/03/2025 00:01,496,AUSF,Memory
07/03/2025 00:01,496,AUSF,CPU + Memory
07/03/2025 00:01,719,AUSF,CPU + Memory
07/03/2025 00:01,1197,AUSF,CPU + Memory
07/03/2025 00:01,692,AUSF,CPU + Memory
07/03/2025 00:01,1296,AUSF,CPU + Memory
07/03/2025 00:01,1800,AUSF,CPU + Memory
07/03/2025 00:01,680,AUSF,CPU + Memory
07/03/2025 00:01,1099,AUSF,CPU + Memory
07/03/2025 00:01,1090,AUSF,CPU + Memory
07/03/2025 00:01,1099,AUSF,CPU + Memory
07/03/2025 00:01,471,AUSF,CPU + Memory
07/03/2025 00:02,1098,NRF,CPU
07/03/2025 00:02,777,NRF,CPU
07/03/2025 00:02,810,NRF,CPU
07/03/2025 00:02,775,NRF,CPU
07/03/2025 00:02,1096,NRF,CPU
07/03/2025 00:02,1095,NRF,CPU
07/03/2025 00:02,1291,NRF,CPU
07/03/2025 00:02,1096,NRF,CPU
07/03/2025 00:02,1196,NRF,CPU
07/03/2025 00:02,1392,NRF,CPU
07/03/2025 00:02,1392,NRF,Memory
07/03/2025 00:02,492,NRF,Memory
07/03/2025 00:02,493,NRF,Memory
07/03/2025 00:02,455,NRF,Memory
07/03/2025 00:02,635,NRF,Memory
07/03/2025 00:02,491,NRF,Memory
07/03/2025 00:02,457,NRF,Memory
07/03/2025 00:02,536,NRF,Memory
07/03/2025 00:02,507,NRF,Memory
07/03/2025 00:02,453,NRF,Memory
07/03/2025 00:02,455,NRF,Memory
07/03/2025 00:02,561,NRF,Memory
07/03/2025 00:02,457,NRF,Memory
07/03/2025 00:02,455,NRF,Memory
07/03/2025 00:02,470,NRF,CPU + Memory
07/03/2025 00:02,1094,NRF,CPU + Memory
07/03/2025 00:02,1196,NRF,CPU + Memory
07/03/2025 00:02,1192,NRF,CPU + Memory
07/03/2025 00:02,1393,NRF,CPU + Memory
07/03/2025 00:02,1396,NRF,CPU + Memory
07/03/2025 00:02,1992,NRF,CPU + Memory
07/03/2025 00:03,1195,NRF,CPU + Memory
07/03/2025 00:03,1386,NRF,CPU + Memory
07/03/2025 00:03,503,NRF,CPU + Memory
07/03/2025 00:03,453,NSSF,CPU
07/03/2025 00:03,468,NSSF,CPU
07/03/2025 00:03,453,NSSF,CPU
07/03/2025 00:03,605,NSSF,CPU
07/03/2025 00:03,456,NSSF,CPU
07/03/2025 00:03,462,NSSF,CPU
07/03/2025 00:03,453,NSSF,CPU
07/03/2025 00:03,504,NSSF,CPU
07/03/2025 00:03,458,NSSF,CPU
07/03/2025 00:03,459,NSSF,CPU
07/03/2025 00:03,467,NSSF,CPU
07/03/2025 00:03,499,NSSF,CPU
07/03/2025 00:03,451,NSSF,CPU
07/03/2025 00:03,454,NSSF,CPU
07/03/2025 00:03,454,NSSF,Memory
07/03/2025 00:03,454,NSSF,Memory
07/03/2025 00:03,451,NSSF,Memory
07/03/2025 00:03,469,NSSF,Memory
07/03/2025 00:03,463,NSSF,Memory
07/03/2025 00:03,500,NSSF,Memory
07/03/2025 00:03,487,NSSF,Memory
07/03/2025 00:03,463,NSSF,Memory
07/03/2025 00:03,456,NSSF,Memory
07/03/2025 00:03,459,NSSF,Memory
07/03/2025 00:03,456,NSSF,Memory
07/03/2025 00:03,519,NSSF,Memory
07/03/2025 00:03,457,NSSF,Memory
07/03/2025 00:03,459,NSSF,Memory
